"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 09 13:12:30 CST 2023","Thu Nov 09 13:12:30 CST 2023","0","90_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Wed Oct 18 23:33:11 CST 2023","Wed Oct 18 23:33:42 CST 2023","31535","367_testcase","test_login","TestLogin","","","登录127.0.0.1:62001","用户正常登录"
"broken","Thu Nov 09 11:44:26 CST 2023","Thu Nov 09 11:44:26 CST 2023","0","923_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Wed Oct 18 23:29:36 CST 2023","Wed Oct 18 23:29:36 CST 2023","0","278_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 22:43:31 CST 2023","Thu Nov 09 22:43:31 CST 2023","0","837_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 20:08:17 CST 2023","Thu Nov 09 20:08:17 CST 2023","0","968_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Wed Oct 18 22:38:00 CST 2023","Wed Oct 18 22:38:00 CST 2023","0","454_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 15:55:32 CST 2023","Thu Nov 09 15:55:32 CST 2023","0","399_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 21:06:47 CST 2023","Thu Nov 09 21:06:47 CST 2023","0","191_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 15:34:23 CST 2023","Thu Nov 09 15:34:23 CST 2023","0","870_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Fri Nov 10 11:17:45 CST 2023","Fri Nov 10 11:17:45 CST 2023","0","711_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 11:44:09 CST 2023","Thu Nov 09 11:44:09 CST 2023","0","458_testcase","test_login","TestLogin","","","test_login","用户正常登录"
